dish,salt,time,fat,sugar,label
Spaghetti Bolognese,2.1,45,22,8,1
Margherita Pizza,2.5,30,24,6,1
Caesar Salad,1.4,20,18,2,1
Grilled Chicken Breast,0.8,25,5,0,1
Cheeseburger,1.2,20,26,7,0
French Fries,0.9,15,19,1,0
Lasagna,2.7,60,28,9,0
Sushi Rolls,1.2,50,8,6,1
Pad Thai,2.0,40,16,10,1
Fried Rice,1.8,30,13,5,1
Ramen,3.0,35,18,7,0
Steak,1.0,25,25,0,1
Mashed Potatoes,1.4,30,10,4,1
Fish and Chips,2.6,40,29,3,0
Chicken Curry,1.9,45,20,7,1
Butter Chicken,2.5,50,27,9,0
Tacos,1.8,25,15,5,1
Burrito,2.4,30,22,6,0
Hot Dog,1.9,10,23,7,0
Pancakes,1.1,20,10,14,1
Waffles,1.4,25,12,16,1
Omelette,1.0,15,11,1,1
Scrambled Eggs,0.8,10,10,1,1
Grilled Salmon,1.2,25,15,0,1
Roast Beef,1.7,90,22,1,0
Chicken Nuggets,2.2,15,19,4,0
Vegetable Stir Fry,1.4,20,8,6,1
Falafel,1.7,30,15,5,1
Hummus,1.2,10,10,3,1
Shakshuka,1.5,25,13,7,1
Risotto,2.0,40,16,5,1
Gnocchi,1.7,30,12,4,1
Mac and Cheese,2.6,35,25,7,0
Tomato Soup,1.1,30,6,6,1
Pumpkin Soup,1.3,35,7,7,1
Chicken Soup,1.1,40,8,4,1
Beef Stew,2.1,120,20,5,0
Lentil Soup,1.5,50,6,5,1
Quiche Lorraine,2.3,45,25,4,0
Greek Salad,1.4,15,13,5,1
Coleslaw,1.2,20,13,7,1
Club Sandwich,2.0,15,19,6,0
BLT Sandwich,1.9,15,17,5,0
Avocado Toast,1.2,10,15,3,1
Bagel Cream Cheese,1.8,10,19,6,0
Croissant,1.0,5,21,5,0
Chocolate Cake,1.5,60,27,30,0
Ice Cream,0.9,5,16,24,0
Apple Pie,1.2,70,19,26,0
Brownies,1.3,45,25,28,0
