dish,salt,time,fat,sugar,label
Spaghetti Bolognese,3.2,45,17,6,0
Margherita Pizza,3.8,30,19,5,0
Caesar Salad,2.6,20,14,3,1
Grilled Chicken Breast,1.2,25,4,0,0
Cheeseburger,5.3,20,26,7,0
French Fries,2.8,15,19,1,0
Lasagna,4.4,60,23,7,0
Sushi Rolls,2.3,50,7,5,0
Pad Thai,3.6,40,13,9,0
Fried Rice,3.1,30,11,4,0
Ramen,4.8,35,14,6,1
Steak,1.8,25,21,0,0
Mashed Potatoes,2.3,30,9,3,1
Fish and Chips,4.3,40,24,2,0
Chicken Curry,2.9,45,17,6,0
Butter Chicken,4.1,50,24,8,0
Tacos,3.4,25,14,4,0
Burrito,4.1,30,19,5,0
Hot Dog,4.6,10,21,6,0
Pancakes,1.9,20,9,12,0
Waffles,2.3,25,11,14,0
Omelette,1.7,15,10,1,1
Scrambled Eggs,1.4,10,9,1,1
Grilled Salmon,1.9,25,13,0,0
Roast Beef,2.8,90,19,1,0
Chicken Nuggets,3.9,15,17,3,0
Vegetable Stir Fry,2.3,20,7,5,1
Falafel,2.9,30,13,4,0
Hummus,2.1,10,9,3,0
Shakshuka,2.4,25,11,6,0
Risotto,3.4,40,14,4,1
Gnocchi,2.9,30,11,3,0
Mac and Cheese,4.3,35,21,6,0
Tomato Soup,1.9,30,5,5,1
Pumpkin Soup,2.1,35,6,6,1
Chicken Soup,1.8,40,7,3,1
Beef Stew,3.4,120,17,4,0
Lentil Soup,2.4,50,5,4,1
Quiche Lorraine,3.7,45,21,3,0
Greek Salad,2.4,15,11,4,1
Coleslaw,1.9,20,11,6,0
Club Sandwich,3.4,15,17,5,0
BLT Sandwich,3.1,15,15,4,0
Avocado Toast,1.9,10,13,2,0
Bagel Cream Cheese,2.9,10,17,5,0
Croissant,1.7,5,19,4,1
Chocolate Cake,2.4,60,23,25,0
Ice Cream,1.4,5,14,20,0
Apple Pie,1.9,70,17,22,1
Brownies,2.1,45,21,24,0
